,Educational Level,Immigration Status,Gender,Age,str,Name
10,College level,"{'Origin': 'Germany-Berlin', 'Destination': 'USA-New York City', 'Domestic Migration': 0, 'International Migration': 1}",Not specified,79,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Germany-Berlin"",
    ""Destination"": ""USA-New York City"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""79""
}",friedel-dzubas
11,College level,"{'Origin': 'Canada-Tofino, Vancouver Island, British Columbia', 'Destination': 'Canada-Vancouver', 'Domestic Migration': 1, 'International Migration': 0}",Male,65,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Canada-Tofino, Vancouver Island, British Columbia"",
    ""Destination"": ""Canada-Vancouver"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""65""
}",richard-hambleton
12,College level,"{'Origin': 'USA-New York', 'Destination': 'USA-New Mexico', 'Domestic Migration': 1, 'International Migration': 0}",Female,70,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-New York"",
    ""Destination"": ""USA-New Mexico"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""70""
}",elaine-de-kooning
13,College level,"{'Origin': 'Japan-Matsumoto', 'Destination': 'United States-New York City', 'Domestic Migration': 0, 'International Migration': 1}",Female,93,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Japan-Matsumoto"",
    ""Destination"": ""United States-New York City"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""93""
}",yayoi-kusama
14,College level,"{'Origin': 'Canada-Montreal', 'Destination': 'Canada-Montreal', 'Domestic Migration': 1, 'International Migration': 0}",Male,70,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Canada-Montreal"",
    ""Destination"": ""Canada-Montreal"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""70""
}",guido-molinari
15,No formal education,"{'Origin': 'Iran-Tehran', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Not specified,97,"{
  ""Educational Level"": ""No formal education"",
  ""Immigration Status"": {
    ""Origin"": ""Iran-Tehran"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""97""
}",manoucher-yektai
16,College level,"{'Origin': 'USA-Boston', 'Destination': 'USA-Berkeley', 'Domestic Migration': 1, 'International Migration': 0}",Female,91,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Boston"",
    ""Destination"": ""USA-Berkeley"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""91""
}",sonya-rapoport
17,College level,"{'Origin': 'USA-Brooklyn, New York', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Male,76,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Brooklyn, New York"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""76""
}",al-held
18,College level,"{'Origin': 'USA-Kansas City, Missouri', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Male,88,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Kansas City, Missouri"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""88""
}",paul-jenkins
19,College level,"{'Origin': 'USA-Salt Lake City', 'Destination': 'USA-Albuquerque', 'Domestic Migration': 1, 'International Migration': 0}",Male,90,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Salt Lake City"",
    ""Destination"": ""USA-Albuquerque"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""90""
}",frederick-hammersley
20,College level,"{'Origin': 'Spain-Granada', 'Destination': 'U.S.A.-New York', 'Domestic Migration': 0, 'International Migration': 1}",Male,77,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Spain-Granada"",
    ""Destination"": ""U.S.A.-New York"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""77""
}",jose-guerrero
21,College level,"{'Origin': 'Romania-Rădăuţi', 'Destination': 'Israel-Mandatory Palestine', 'Domestic Migration': 0, 'International Migration': 1}",Male,81,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Romania-Rădăuţi"",
    ""Destination"": ""Israel-Mandatory Palestine"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""81""
}",avigdor-arikha
22,College level,"{'Origin': 'United States-Malden', 'Destination': 'United States-New York City', 'Domestic Migration': 1, 'International Migration': 0}",Male,87,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""United States-Malden"",
    ""Destination"": ""United States-New York City"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""87""
}",frank-stella
23,College level,"{'Origin': 'USA-Oakland', 'Destination': 'USA-San Francisco', 'Domestic Migration': 1, 'International Migration': 0}",Male,81,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Oakland"",
    ""Destination"": ""USA-San Francisco"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""81""
}",nathan-oliveira
24,College level,"{'Origin': 'USA-Hanover, New Hampshire', 'Destination': 'USA-San Francisco, California', 'Domestic Migration': 1, 'International Migration': 0}",Female,60,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Hanover, New Hampshire"",
    ""Destination"": ""USA-San Francisco, California"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""60""
}",jay-defeo
25,Taught by other artists,"{'Origin': 'USA-Brooklyn', 'Destination': 'Italy-Florence', 'Domestic Migration': 1, 'International Migration': 1}",Male,51,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Brooklyn"",
    ""Destination"": ""Italy-Florence"",
    ""Domestic Migration"": 1,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""51""
}",gandy-brodie
26,PhD level,"{'Origin': 'USA-New York', 'Destination': 'USA-Tucson', 'Domestic Migration': 1, 'International Migration': 0}",Male,78,"{
  ""Educational Level"": ""PhD level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-New York"",
    ""Destination"": ""USA-Tucson"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""78""
}",allan-kaprow
27,College level,"{'Origin': 'Iran-Arak', 'Destination': 'Italy-Rome, Italy-Naples, France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Female,85,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Iran-Arak"",
    ""Destination"": ""Italy-Rome, Italy-Naples, France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""85""
}",behjat-sadr
28,College level,"{'Origin': 'USA-Oberlin College', 'Destination': 'USA-Woodstock, N.Y.', 'Domestic Migration': 1, 'International Migration': 0}",Female,80,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Oberlin College"",
    ""Destination"": ""USA-Woodstock, N.Y."",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""80""
}",rosemarie-beck
29,Taught by other artists,"{'Origin': 'Canada-Québec', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Male,76,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""Canada-Québec"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""76""
}",rene-marcil
30,Taught by other artists,"{'Origin': '', 'Destination': '', 'Domestic Migration': 0, 'International Migration': 0}",Male,78,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": """",
    ""Destination"": """",
    ""Domestic Migration"": 0,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""78""
}",craig-kauffman
31,College level,"{'Origin': 'USA-Rochester, Indiana', 'Destination': 'USA-Shelter Island, New York', 'Domestic Migration': 1, 'International Migration': 0}",Male,84,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Rochester, Indiana"",
    ""Destination"": ""USA-Shelter Island, New York"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""84""
}",john-chamberlain
32,College level,"{'Origin': 'Guatemala City-Guatemala', 'Destination': 'New York-United States', 'Domestic Migration': 0, 'International Migration': 1}",Male,77,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Guatemala City-Guatemala"",
    ""Destination"": ""New York-United States"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""77""
}",alfred-jensen
33,Taught by other artists,"{'Origin': 'Ukraine-Bratslav', 'Destination': 'USA-Brooklyn', 'Domestic Migration': 1, 'International Migration': 1}",Male,87,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""Ukraine-Bratslav"",
    ""Destination"": ""USA-Brooklyn"",
    ""Domestic Migration"": 1,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""87""
}",milton-resnick
34,College level,"{'Origin': 'USA-Hollywood, California', 'Destination': 'USA-Provincetown, Massachusetts', 'Domestic Migration': 1, 'International Migration': 1}",Not specified,74,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Hollywood, California"",
    ""Destination"": ""USA-Provincetown, Massachusetts"",
    ""Domestic Migration"": 1,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""74""
}",taro-yamamoto
35,College level,"{'Origin': 'USA-Columbus', 'Destination': 'USA-Washington, D.C.', 'Domestic Migration': 1, 'International Migration': 0}",Female,86,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Columbus"",
    ""Destination"": ""USA-Washington, D.C."",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""86""
}",alma-woodsey-thomas
36,College level,"{'Origin': 'USA-Washington, D.C.', 'Destination': 'Europe', 'Domestic Migration': 0, 'International Migration': 1}",Not specified,47,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Washington, D.C."",
    ""Destination"": ""Europe"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""47""
}",howard-mehring
37,College level,"{'Origin': 'USA-San Francisco', 'Destination': 'USA-New York City', 'Domestic Migration': 0, 'International Migration': 0}",Male,53,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-San Francisco"",
    ""Destination"": ""USA-New York City"",
    ""Domestic Migration"": 0,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""53""
}",leo-valledor
38,Master level,"{'Origin': 'USA-Tucson', 'Destination': 'USA-San Francisco', 'Domestic Migration': 1, 'International Migration': 0}",Not specified,87,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Tucson"",
    ""Destination"": ""USA-San Francisco"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""87""
}",paul-wonner
39,College level,"{'Origin': 'England-Letchworth', 'Destination': 'USA-New York', 'Domestic Migration': 0, 'International Migration': 1}",Male,85,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""England-Letchworth"",
    ""Destination"": ""USA-New York"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""85""
}",richard-smith
40,Master level,"{'Origin': 'Germany-Bavaria', 'Destination': 'United States', 'Domestic Migration': 0, 'International Migration': 1}",Not specified,80,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""Germany-Bavaria"",
    ""Destination"": ""United States"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""80""
}",ulfert-wilke
41,Master level,"{'Origin': 'USA-Millville, Pennsylvania', 'Destination': 'USA-Maine', 'Domestic Migration': 1, 'International Migration': 0}",Unknown,75,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Millville, Pennsylvania"",
    ""Destination"": ""USA-Maine"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Unknown"",
  ""Age"": ""75""
}",neil-welliver
42,High school level,"{'Origin': 'Netherlands-Pulau Weh', 'Destination': 'Netherlands-Voorburg', 'Domestic Migration': 1, 'International Migration': 0}",Male,81,"{
  ""Educational Level"": ""High school level"",
  ""Immigration Status"": {
    ""Origin"": ""Netherlands-Pulau Weh"",
    ""Destination"": ""Netherlands-Voorburg"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""81""
}",anton-heyboer
43,Taught by other artists,"{'Origin': '', 'Destination': '', 'Domestic Migration': 0, 'International Migration': 0}",,83,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": """",
    ""Destination"": """",
    ""Domestic Migration"": 0,
    ""International Migration"": 0
  },
  ""Gender"": """",
  ""Age"": ""83""
}",pol-bury
44,College level,"{'Origin': 'USA-Sturgis, Michigan', 'Destination': 'England-Wiltshire', 'Domestic Migration': 1, 'International Migration': 1}",Male,91,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Sturgis, Michigan"",
    ""Destination"": ""England-Wiltshire"",
    ""Domestic Migration"": 1,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""91""
}",hassel-smith
45,College level,"{'Origin': 'Mexico-Jalisco', 'Destination': 'Italy-Carrara', 'Domestic Migration': 0, 'International Migration': 1}",Male,91,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Mexico-Jalisco"",
    ""Destination"": ""Italy-Carrara"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""91""
}",manuel-neri
46,College level,"{'Origin': 'United States-Providence', 'Destination': 'Italy-Rome', 'Domestic Migration': 1, 'International Migration': 1}",Female,91,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""United States-Providence"",
    ""Destination"": ""Italy-Rome"",
    ""Domestic Migration"": 1,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""91""
}",lee-bontecou
47,College level,"{'Origin': 'UK-London', 'Destination': 'Italy-Rome', 'Domestic Migration': 0, 'International Migration': 1}",Male,95,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""UK-London"",
    ""Destination"": ""Italy-Rome"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""95""
}",joe-tilson
48,College level,"{'Origin': 'Canada-Black Lake', 'Destination': 'Canada-Montreal', 'Domestic Migration': 1, 'International Migration': 0}",Not specified,92,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Canada-Black Lake"",
    ""Destination"": ""Canada-Montreal"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""92""
}",armand-vaillancourt
49,High school level,"{'Origin': 'USA-New Orleans', 'Destination': 'France-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Male,93,"{
  ""Educational Level"": ""High school level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-New Orleans"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""93""
}",ed-clark
50,College level,"{'Origin': 'USA-Jamaica, New York', 'Destination': 'USA-Brooklyn', 'Domestic Migration': 1, 'International Migration': 0}",Male,63,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Jamaica, New York"",
    ""Destination"": ""USA-Brooklyn"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""63""
}",dan-flavin
51,Master level,"{'Origin': 'USA-Charleston, Illinois', 'Destination': 'France-Paris', 'Domestic Migration': 1, 'International Migration': 1}",Female,54,"{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Charleston, Illinois"",
    ""Destination"": ""France-Paris"",
    ""Domestic Migration"": 1,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""54""
}",alice-baber
52,Taught by other artists,"{'Origin': 'Japan-Kumamoto', 'Destination': 'Brazil-São Paulo', 'Domestic Migration': 0, 'International Migration': 1}",Male,73,"{
  ""Educational Level"": ""Taught by other artists"",
  ""Immigration Status"": {
    ""Origin"": ""Japan-Kumamoto"",
    ""Destination"": ""Brazil-São Paulo"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""73""
}",manabu-mabe
53,No formal education,"{'Origin': 'United States-West Hoboken, New Jersey', 'Destination': 'United States-Bellport, Long Island', 'Domestic Migration': 1, 'International Migration': 0}",Not specified,85,"{
  ""Educational Level"": ""No formal education"",
  ""Immigration Status"": {
    ""Origin"": ""United States-West Hoboken, New Jersey"",
    ""Destination"": ""United States-Bellport, Long Island"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""85""
}",arthur-pinajian
54,College level,"{'Origin': 'Germany-Hamburg', 'Destination': 'United States-New York City', 'Domestic Migration': 0, 'International Migration': 1}",Female,34,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Germany-Hamburg"",
    ""Destination"": ""United States-New York City"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Female"",
  ""Age"": ""34""
}",eva-hesse
55,,,,,"{
     ""Origin"": ""Poland-Jarosław"",
     ""Destination"": ""Israel-Lohamei HaGeta'ot"",
     ""Domestic Migration"": 0,
     ""International Migration"": 1
   }
3. Gender: The text does not explicitly mention Moshe Kupferman's gender, but based on the common naming convention, ""Moshe"" is a male name.
4. Age: Moshe Kupferman was born in 1926 and died in 2003. Calculating the approximate age at the time of death:
   Age = 2003 (death year) - 1926 (birth year) = 77 years

Final JSON Output:
{
  ""Educational Level"": ""Master level"",
  ""Immigration Status"": {
    ""Origin"": ""Poland-Jarosław"",
    ""Destination"": ""Israel-Lohamei HaGeta'ot"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""77""
}",moshe-kupferman
56,College level,"{'Origin': 'UK-London', 'Destination': 'France-Spain-Italy', 'Domestic Migration': 0, 'International Migration': 1}",Male,88,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""UK-London"",
    ""Destination"": ""France-Spain-Italy"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""88""
}",bernard-cohen
57,College level,"{'Origin': 'India-Karachi', 'Destination': 'India-Mumbai', 'Domestic Migration': 1, 'International Migration': 0}",Female,53,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""India-Karachi"",
    ""Destination"": ""India-Mumbai"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""53""
}",nasreen-mohamedi
58,College level,"{'Origin': 'USA-Excelsior Springs', 'Destination': 'USA-New York', 'Domestic Migration': 1, 'International Migration': 0}",Male,65,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Excelsior Springs"",
    ""Destination"": ""USA-New York"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""65""
}",donald-judd
59,College level,"{'Origin': 'USA-Baltimore', 'Destination': 'USA-New York City', 'Domestic Migration': 1, 'International Migration': 0}",Female,67,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Baltimore"",
    ""Destination"": ""USA-New York City"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""67""
}",jane-frank
60,College level,"{'Origin': 'USA-Saginaw', 'Destination': 'USA-Chicago', 'Domestic Migration': 1, 'International Migration': 0}",Not specified,61,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Saginaw"",
    ""Destination"": ""USA-Chicago"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Not specified"",
  ""Age"": ""61""
}",robert-nickle
61,College level,"{'Origin': 'Japan-Osaka', 'Destination': 'Japan-Nara', 'Domestic Migration': 1, 'International Migration': 0}",Female,73,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Japan-Osaka"",
    ""Destination"": ""Japan-Nara"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Female"",
  ""Age"": ""73""
}",atsuko-tanaka
62,College level,"{'Origin': 'Mexico-Jerez', 'Destination': 'Mexico-Paris', 'Domestic Migration': 0, 'International Migration': 1}",Male,63,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""Mexico-Jerez"",
    ""Destination"": ""Mexico-Paris"",
    ""Domestic Migration"": 0,
    ""International Migration"": 1
  },
  ""Gender"": ""Male"",
  ""Age"": ""63""
}",pedro-coronel
63,College level,"{'Origin': 'USA-Washington, D.C.', 'Destination': 'USA-San Diego', 'Domestic Migration': 1, 'International Migration': 0}",Male,96,"{
  ""Educational Level"": ""College level"",
  ""Immigration Status"": {
    ""Origin"": ""USA-Washington, D.C."",
    ""Destination"": ""USA-San Diego"",
    ""Domestic Migration"": 1,
    ""International Migration"": 0
  },
  ""Gender"": ""Male"",
  ""Age"": ""96""
}",paul-reed
